日期,时点,甘肃_实时市场出清总电量（MWh）
2026-01-05,08:45,8773.17
2026-01-05,09:00,8820.73
2026-01-05,09:15,8828.29
2026-01-05,09:30,9021.13
2026-01-05,09:45,8997.87
2026-01-05,10:00,8992.39
2026-01-05,10:15,9173.11
2026-01-05,10:30,9016.35
2026-01-05,10:45,8878.90
2026-01-05,11:00,8777.44
2026-01-05,11:15,9170.73
2026-01-05,11:30,9172.88
2026-01-05,11:45,9334.52
2026-01-05,12:00,9152.49
2026-01-05,12:15,9304.66
2026-01-05,12:30,9256.76
2026-01-05,12:45,9145.53
2026-01-05,13:00,9026.76
2026-01-05,13:15,8894.23
2026-01-05,13:30,8948.96
2026-01-05,13:45,8929.18
2026-01-05,14:00,8888.66
2026-01-05,14:15,8983.99
2026-01-05,14:30,8842.43
2026-01-05,14:45,8849.04
2026-01-05,15:00,8967.80
2026-01-05,15:15,9038.02
2026-01-05,15:30,9024.77
2026-01-05,15:45,9255.58
2026-01-05,16:00,9424.47
2026-01-05,16:15,9901.69
2026-01-05,16:30,10118.70
2026-01-05,16:45,10290
2026-01-05,17:00,9303.04
2026-01-05,17:15,9287.86
2026-01-05,17:30,9176.93
2026-01-05,17:45,9213.91
2026-01-05,18:00,9358.67
2026-01-05,18:15,9302.91
2026-01-05,18:30,9442.75
2026-01-05,18:45,9334.72
2026-01-05,19:00,9348.63
2026-01-05,19:15,9350.22
2026-01-05,19:30,9385.14
2026-01-05,19:45,9358.58
2026-01-05,20:00,9400.98
2026-01-05,20:15,9375.13
2026-01-05,20:30,9325.20
2026-01-05,20:45,9312.14
2026-01-05,21:00,9274.68
2026-01-05,21:15,9300.74
2026-01-05,21:30,9274.95
2026-01-05,21:45,9062.21
2026-01-05,22:00,8977.12
2026-01-05,22:15,9265.82
2026-01-05,22:30,9103.43
2026-01-05,22:45,8956.37
2026-01-05,23:00,8802.23
2026-01-05,23:15,8692.32
2026-01-05,23:30,8474.07
2026-01-05,23:45,8414.09
2026-01-05,24:00,8384.17
2026-01-06,00:15,8561.03
2026-01-06,00:30,8794.73
2026-01-06,00:45,8737.19
2026-01-06,01:00,8722.27
2026-01-06,01:15,8712.05
2026-01-06,01:30,8976.96
2026-01-06,01:45,8984.39
2026-01-06,02:00,8791.62
2026-01-06,02:15,8663.53
2026-01-06,02:30,8597.77
2026-01-06,02:45,8556.57
2026-01-06,03:00,8508.04
2026-01-06,03:15,8734.84
2026-01-06,03:30,8735.74
2026-01-06,03:45,9026.15
2026-01-06,04:00,9003.18
2026-01-06,04:15,8802.77
2026-01-06,04:30,8732.10
2026-01-06,04:45,8717.47
2026-01-06,05:00,8690.65
2026-01-06,05:15,8870.96
2026-01-06,05:30,8949.46
2026-01-06,05:45,9074.97
2026-01-06,06:00,9147.46
2026-01-06,06:15,8869.45
2026-01-06,06:30,8878.96
2026-01-06,06:45,8913.62
2026-01-06,07:00,8841.88
2026-01-06,07:15,8994.98
2026-01-06,07:30,9042.62
2026-01-06,07:45,9118.03
2026-01-06,08:00,9003.42
2026-01-06,08:15,9109.09
2026-01-06,08:30,8869.66
2026-01-06,08:45,8891.54
2026-01-06,09:00,8938.74
2026-01-06,09:15,8891.28
2026-01-06,09:30,9066.92
2026-01-06,09:45,9312.16
