日期,时点,甘肃_日前市场出清总电量（MWh）
2026-01-07,12:00,8595.91
2026-01-07,12:15,8549.71
2026-01-07,12:30,8506.58
2026-01-07,12:45,8445.04
2026-01-07,13:00,8400.71
2026-01-07,13:15,8323.32
2026-01-07,13:30,8275.99
2026-01-07,13:45,8245.89
2026-01-07,14:00,8261.70
2026-01-07,14:15,8302.44
2026-01-07,14:30,8302.54
2026-01-07,14:45,8292.24
2026-01-07,15:00,8370.07
2026-01-07,15:15,8297.43
2026-01-07,15:30,8255.41
2026-01-07,15:45,8228.22
2026-01-07,16:00,8140.58
2026-01-07,16:15,8117.68
2026-01-07,16:30,8425.82
2026-01-07,16:45,8784.98
2026-01-07,17:00,8770.22
2026-01-07,17:15,8667.40
2026-01-07,17:30,8585.57
2026-01-07,17:45,8506.63
2026-01-07,18:00,8388.45
2026-01-07,18:15,8422.33
2026-01-07,18:30,8453.38
2026-01-07,18:45,8496.08
2026-01-07,19:00,8462.18
2026-01-07,19:15,8384.87
2026-01-07,19:30,8387.37
2026-01-07,19:45,8359.08
2026-01-07,20:00,8340.25
2026-01-07,20:15,8384.21
2026-01-07,20:30,8324.80
2026-01-07,20:45,8156.02
2026-01-07,21:00,8140.29
2026-01-07,21:15,7980.75
2026-01-07,21:30,7971.31
2026-01-07,21:45,7761.51
2026-01-07,22:00,7767.15
2026-01-07,22:15,7966.03
2026-01-07,22:30,7840.63
2026-01-07,22:45,7697.07
2026-01-07,23:00,7592.56
2026-01-07,23:15,7571.67
2026-01-07,23:30,7492.57
2026-01-07,23:45,7485.05
2026-01-07,24:00,7384.73
2026-01-08,00:15,8000.84
2026-01-08,00:30,7979.77
2026-01-08,00:45,7994.14
2026-01-08,01:00,8096.51
2026-01-08,01:15,8052.34
2026-01-08,01:30,8067.96
2026-01-08,01:45,8065.03
2026-01-08,02:00,7987.62
2026-01-08,02:15,7965.04
2026-01-08,02:30,7910.02
2026-01-08,02:45,7847.05
2026-01-08,03:00,7857
2026-01-08,03:15,7922.93
2026-01-08,03:30,7941.21
2026-01-08,03:45,7942.14
2026-01-08,04:00,7902.21
2026-01-08,04:15,7910.79
2026-01-08,04:30,7917.94
2026-01-08,04:45,7919.69
2026-01-08,05:00,7942.52
2026-01-08,05:15,7959.94
2026-01-08,05:30,7971.90
2026-01-08,05:45,8071.12
2026-01-08,06:00,8164.02
2026-01-08,06:15,8299.81
2026-01-08,06:30,8375.81
2026-01-08,06:45,8310.76
2026-01-08,07:00,8301.38
2026-01-08,07:15,7982.98
2026-01-08,07:30,8025.23
2026-01-08,07:45,7955.38
2026-01-08,08:00,8005.37
2026-01-08,08:15,8168.53
2026-01-08,08:30,8184.01
2026-01-08,08:45,8266.46
2026-01-08,09:00,8339.50
2026-01-08,09:15,8488.86
2026-01-08,09:30,8414
2026-01-08,09:45,8524.24
2026-01-08,10:00,8956.69
2026-01-08,10:15,8686.02
2026-01-08,10:30,8767.08
2026-01-08,10:45,8714.84
2026-01-08,11:00,8790.86
2026-01-08,11:15,8764.63
2026-01-08,11:30,8681.12
2026-01-08,11:45,8599.33
2026-01-08,12:00,8541.52
2026-01-08,12:15,8210.44
2026-01-08,12:30,8151.67
2026-01-08,12:45,8112.10
2026-01-08,13:00,8121.78
2026-01-08,13:15,8060.01
2026-01-08,13:30,8052.19
2026-01-08,13:45,8015.28
2026-01-08,14:00,7987.98
2026-01-08,14:15,7992.65
2026-01-08,14:30,7941.34
2026-01-08,14:45,7908.01
2026-01-08,15:00,7862.37
2026-01-08,15:15,7877.83
2026-01-08,15:30,7867.88
2026-01-08,15:45,7781.67
2026-01-08,16:00,7797.69
2026-01-08,16:15,8160.40
2026-01-08,16:30,8470.41
2026-01-08,16:45,8568.04
2026-01-08,17:00,8733.84
2026-01-08,17:15,8919.44
2026-01-08,17:30,9184.11
2026-01-08,17:45,9453.12
2026-01-08,18:00,9384.71
2026-01-08,18:15,9179.75
